FileName;Edges;Vertices;Time
us14_1.csv;149;150;12
us14_2.csv;299;300;11
us14_3.csv;449;450;23
us14_4.csv;599;600;29
us14_5.csv;749;750;42
us14_6.csv;899;900;66
us14_7.csv;1049;1050;71
us14_8.csv;1199;1200;103
us14_9.csv;1349;1350;114
us14_10.csv;1499;1500;163
us14_11.csv;1649;1650;173
us14_12.csv;1799;1800;193
us14_13.csv;1949;1950;276
us14_14.csv;2099;2100;299
us14_15.csv;2249;2250;320
us14_16.csv;2399;2400;400
us14_17.csv;2549;2550;395
us14_18.csv;2699;2700;446
us14_19.csv;2849;2850;600
us14_20.csv;2999;3000;645
us14_21.csv;3149;3150;729
us14_22.csv;3299;3300;787
us14_23.csv;3449;3450;874
us14_24.csv;3599;3600;1045
us14_25.csv;3749;3750;1018
us14_26.csv;3899;3900;1007
us14_27.csv;4049;4050;1087
us14_28.csv;4199;4200;1502
us14_29.csv;4349;4350;1486
us14_30.csv;4499;4500;1659